,name,emd_g_a,emd_s_a,label,strength,frequency,locationx,locationy
4702,5874.png,0.04472316801548004,0.4400535523891449,0,0.17391304347826086,9.300595238095238e-05,0.38980315429842677,0.6224914256581386
4703,5875.png,0.04428720101714134,0.49881142377853394,0,5.5,0.0005115327380952381,0.3917224908831457,0.6227831344802072
4704,5876.png,0.04448320344090462,0.3503883183002472,0,0.13636363636363635,6.975446428571428e-05,0.3919652822066326,0.62274169921875
4705,5877.png,0.04023044556379318,0.5222431421279907,0,1.0,6.975446428571428e-05,0.39183035714285713,0.6228674768518518
4706,5878.png,0.03879959136247635,0.5101972818374634,0,0.6666666666666666,4.650297619047619e-05,0.39173119469026546,0.6230612785766961
4707,5879.png,0.04276417940855026,0.5540300011634827,0,5.0,0.00023251488095238094,0.39105951056729704,0.6224363876529477
4708,5880.png,0.04450492188334465,0.5049874782562256,0,2.4,0.0005580357142857143,0.39058522908049637,0.620104862657758
4709,5881.png,0.04593611881136894,0.4742974042892456,0,0.8125,0.00045340401785714287,0.389419592526977,0.6194716506952274
4710,5882.png,0.04593611881136894,0.5308248996734619,0,0.0,0.0,0.389419592526977,0.6194716506952274
4711,5883.png,0.04881095886230469,0.3450620770454407,0,0.0,0.00015113467261904762,0.38877666451195864,0.6198122878959276
4712,5884.png,0.04365864023566246,0.484502375125885,0,1.8461538461538463,0.00027901785714285713,0.38782724628312865,0.6200744720965309
4713,5885.png,0.04367104545235634,0.41776910424232483,0,0.08333333333333333,2.3251488095238094e-05,0.38782724628312865,0.6200715262066365
4714,5886.png,0.048573076725006104,0.6021259427070618,0,6.0,0.00013950892857142856,0.38811288483466366,0.619735248004561
4715,5887.png,0.048573076725006104,0.327755331993103,0,0.0,0.0,0.38811288483466366,0.619735248004561
4716,5888.png,0.05139667168259621,0.5725982189178467,0,0.0,0.0002208891369047619,0.3887099083619702,0.618923611111111
4717,5889.png,0.04494250565767288,0.415256530046463,0,0.3684210526315789,8.138020833333333e-05,0.3890364498202027,0.6187428489702517
4718,5890.png,0.04525494948029518,0.5401865243911743,0,2.5714285714285716,0.00020926339285714285,0.38866203477978223,0.6196464969662495
4719,5891.png,0.054559431970119476,0.3292329013347626,0,0.7222222222222222,0.00015113467261904762,0.38886145598194133,0.6199562641083521
4720,5892.png,0.054559431970119476,0.41832348704338074,0,0.0,0.0,0.38886145598194133,0.6199562641083521
4721,5893.png,0.11876855790615082,0.42247864603996277,0,0.0,0.0003255208333333333,0.38951267797152456,0.6205615434863755
4722,5894.png,0.41195976734161377,0.3560153543949127,0,0.5,0.00016276041666666666,0.3898276275795873,0.6210339678984697
4723,5895.png,0.08897958695888519,0.3988763689994812,0,1.5,0.000244140625,0.3903061224489796,0.62164306640625
4724,5896.png,0.8035075068473816,0.37372609972953796,0,0.38095238095238093,9.300595238095238e-05,0.3906944444444444,0.6216927083333333
4725,5897.png,0.8035075068473816,0.39209312200546265,0,0.0,0.0,0.3906944444444444,0.6216927083333333
